tag,n,min,median,p99,max,clock_hz,measured_at,config,note
action_latency,33024,761,773,773,775,84000000,2026-08-05,baseline-w2,"W2 코드 그대로의 첫 실측. 부하 태스크가 20ms busy/30ms idle = 주기 50ms인데 이벤트 주기도 50ms라 위상이 고정됐다. 폭이 14cyc=167ns로 나온 건 결정성이 아니라 위상 잠금의 아티팩트다. 스윕에서 부하 주기를 53ms(이벤트 50ms와 서로소)로 바꾸자 꼬리가 드러났다(A-mono 행 참조). 258배치x128. 원자료 raw/w3_baseline_batches.csv"
action_latency,5120,772,774,1254,1389,84000000,2026-08-05,L0-noload,"대조군: 부하 태스크 없음. 9.19/9.21/14.93/16.54 us. miss(1ms)=0 lost=0 skip=0. 40배치x128(스윕 10회분)"
action_latency,5120,759,774,1434,1442,84000000,2026-08-05,A-mono,"부하 37.7%, 부하 우선순위 8(액션 48보다 아래), monolithic. 9.04/9.21/17.07/17.17 us. 대조군 대비 max +0.6us = 부하를 걸어도 최상위 태스크는 사실상 영향 없음. miss(1ms)=0/5120 lost=0 skip=0"
action_latency,5120,764,774,1680747,1681997,84000000,2026-08-05,B-mono,"부하 우선순위 50(액션 48보다 위)으로 뒤집음, monolithic 20ms. 9.10/9.21/20008.9/20023.8 us. median은 A와 동일(9.21us)이고 max만 20.02ms = 1166배. miss(1ms)=1931/5120=37.7% lost=0 skip=0"
action_latency,5120,772,774,420696,420705,84000000,2026-08-05,C-chunk5ms,"B와 같은 우선순위 배치, 부하를 5ms 청크 4개로 분할(경계는 vTaskDelay=블로킹). 9.19/9.21/5008.3/5008.4 us. max가 B의 1/4. 5008us = 청크 5ms + 컨텍스트스위치 8.3us. miss=1930/5120=37.7% lost=0 skip=0"
action_latency,5120,772,1207,84712,84727,84000000,2026-08-05,D-chunk1ms,"1ms 청크 20개. 9.19/14.37/1008.5/1008.7 us. max가 B의 1/20. median이 9.21->14.37us로 오른 유일한 config = 청크 경계의 스케줄링 비용이 상시화된 것. miss=1933/5120=37.8% lost=0 skip=0"# ── W3 최종 빌드 재측정 (2026-08-08) ─────────────────────────────────────────
# 위 2026-08-05 행들은 **추론 태스크가 없던 바이너리**에서 나온 것이다. W3에서 진짜
# int8 추론 태스크(prio 12)와 윈도우마다 [EDGE] 한 줄이 추가됐으므로, 결론을 그대로
# 들고 가지 않고 다시 쟀다. 원자료 raw/w3_final_uart.log · raw/w3_final_batches.csv
#
# 집계 주의: UART는 배치(n=128) 단위 통계만 내보내므로 min/max는 배치 전체의 정확한
# 값이지만 **median은 배치별 중앙값들의 중앙값, p99는 배치별 p99의 최댓값(보수적)**이다.
# 2026-08-05 행(n=5120)은 40배치를 모은 것이라 표본이 4~10배 크다 - max 비교 시 감안할 것.
action_latency,1024,759,769,1257,1257,84000000,2026-08-08,L0-noload-w3final,"8배치. 9.04/9.15/14.96/14.96 us. 08-05(max 16.54us)와 같은 수준 - 표본이 1/5라 max가 더 작게 나온 것"
action_latency,1024,757,769,1475,1475,84000000,2026-08-08,A-mono-w3final,"8배치. 9.01/9.15/17.56/17.56 us. 08-05 max 17.17us와 일치. **추론 태스크를 넣어도 최상위 태스크 지연은 그대로다**"
action_latency,1152,754,769,1680755,1682151,84000000,2026-08-08,B-mono-w3final,"9배치. max 20.026ms. 08-05 max 20.024ms와 일치(재현)"
action_latency,896,754,769,420736,420753,84000000,2026-08-08,C-chunk5ms-w3final,"7배치. max 5.009ms. 08-05 5.008ms와 일치"
action_latency,512,754,1190,84730,84737,84000000,2026-08-08,D-chunk1ms-w3final,"4배치. med 14.17us, max 1.009ms. 08-05(med 14.4us, max 1.009ms)와 일치"
#
# 결론: **§1-8의 결과가 그대로 재현됐다.** 축 B(진짜 추론 태스크, CPU 0.11%)를 얹어도
# 액션 지연 분포는 config별로 08-05과 같은 자리에 있다. 이건 §1-8의 핵심 주장
# ("낮은 우선순위의 부하는 위 태스크에 원리적으로 닿지 않는다")의 **독립 재현**이다 -
# 이번엔 부하가 아니라 실제 워크로드를 추가했는데도 같았다.
#
# miss(1ms) 카운터 재확인: B-mono(max 20ms)와 D-chunk1ms(max 1.009ms)가 둘 다 배치당
# 44~52회로 **구별되지 않는다.** 20배 차이가 같은 숫자로 나온다 - §1-2의
# "초과 횟수 지표 자체가 무력하다"가 다시 확인됐다. 꼬리를 보려면 분포를 봐야 한다.
