tag,n,min,median,p99,max,clock_hz,measured_at,config,note
# 액션 지연을 낮춘 대가로 무엇을 지불했는가. action_latency.csv와 같은 실행(raw/w3_sweep_uart.log)에서 나온 값.
load_job,3840,1680091,1680098,2927004,4300334,84000000,2026-08-05,A-mono,"부하 잡 1회 소요시간. 순수 연산량은 20ms 고정. med 20.001ms인데 max 51.19ms = 2.56배. 부하가 최하위 우선순위(8)라 자기가 밀린다. 미는 주체는 로그 태스크(16)의 blocking printf - 이게 '로그를 추론보다 위에 둔다'(system-design.md 1-1)는 결정의 실제 비용이다"
load_job,3840,1680090,1680105,1680129,1680132,84000000,2026-08-05,B-mono,"med 20.001ms max 20.002ms. 우선순위 50이라 아무도 못 민다 = 처리량은 최적, 액션 지연은 최악"
load_job,3840,1931857,1932037,1932220,1932220,84000000,2026-08-05,C-chunk5ms,"med 23.00ms. 20ms 연산 + 청크 경계 3회 x 1틱 대기. B 대비 +15% 완료시간으로 액션 max를 1/4로 샀다"
load_job,3840,3275877,3276073,3276251,3276254,84000000,2026-08-05,D-chunk1ms,"med 39.00ms. 20ms 연산 + 경계 19회. B 대비 +95% 완료시간으로 액션 max를 1/20로 샀다"
imu_interval_task,26624,754570,840000,925335,925342,84000000,2026-08-05,L0-noload,"센서 주기(목표 840000=10ms). 이탈 배치 12/104는 전부 config 전환 직후 첫 배치 = 직전 config(D)의 잔여 효과. 나머지 92배치는 839813~840187(±2.2us). 센서 태스크가 config 전환 시 워밍업을 리셋하지 않는 방법론 구멍 - 다음 반복에서 수정"
imu_interval_task,26368,839793,840000,840180,840196,84000000,2026-08-05,A-mono,"9997.5~10002.3 us. 부하 37.7%를 걸어도 100Hz가 흔들리지 않는다(센서 40 > 부하 8)"
imu_interval_task,26112,131619,839993,2522256,2523540,84000000,2026-08-05,B-mono,"1.57~30.04 ms. 부하(50)가 센서(40)까지 밀어서 샘플링이 무너진다. 20ms 블록 동안 2틱을 놓치고 뒤에 몰아서 따라잡는다(min 1.57ms). fail=0이라 데이터 손실은 없지만 주기 가정이 깨짐 = 학습 시 FS_HZ=100 전제와 어긋난다"
imu_interval_task,26624,131631,840000,2521463,2522258,84000000,2026-08-05,C-chunk5ms,"B와 거의 동일. 청킹 5ms는 액션은 구했지만 센서(10ms 주기)는 못 구한다"
imu_interval_task,26368,418593,840000,1261314,1261324,84000000,2026-08-05,D-chunk1ms,"4.98~15.02 ms. 1ms 청킹이 센서 지터도 30ms->15ms로 절반으로 줄인다. 여전히 A(±2.3us)에는 한참 못 미침"
