tag,config,n,min,median,p99,max,clock_hz,measured_at,note
# 태스크 환경에서의 실제 추론 소요. kernel_compare.csv와 **다른 질문에 답한다** —
# 저쪽은 "커널 자체가 몇 사이클인가"(선점 없음), 이쪽은 "돌아가는 시스템 안에서
# 한 윈도우를 처리하는 데 실제로 얼마나 걸리는가"(상위 태스크 선점 포함)다.
# 소스: firmware/Core/Src/app_tasks.c prv_infer_task. 원자료: raw/w3_final_uart.log
#
# tag 의미:
#   inference_cycles      raw int16 -> g/dps 환산 + 특징 + 양자화 + int8 순전파
#   infer_decide_latency  윈도우 완성(센서 태스크 스냅숏) -> 이상 판정 확정
inference_cycles,A-mono,128,59918,59940,1025224,1156980,84000000,2026-08-08,"713.3/713.6/12204/13773 us. med는 깨끗한데 꼬리가 13.8ms까지 간다. 미는 주체는 부하(prio 8, 추론 12보다 아래라 원리적으로 못 민다)가 아니라 **로그 태스크(16)의 blocking printf**다 - 한 줄 ~9.5ms. §1-8에서 부하 잡을 2.6배로 늘렸던 그 비용이 여기서 추론까지 문다"
inference_cycles,C-chunk5ms,128,59911,59935,60157,60161,84000000,2026-08-08,"713.2/713.5/716.2/716.2 us. 부하가 prio 50(추론 위)인데도 max가 med와 0.4% 차이 = **실행 중 선점이 사실상 없었다.** 청킹이 1ms 블록을 만들어 그 틈에 로그가 빠져나간 결과로 보인다. 다만 config당 1배치(n=128)뿐이라 배치 간 변동은 아직 모른다 - 단정하지 않는다"
infer_decide_latency,A-mono,128,62146,62174,3409659,3411436,84000000,2026-08-08,"739.8/740.2/40591/40612 us. med가 추론 자체(713.6us)보다 26.6us 큰 게 알림->기상 오버헤드. 꼬리 40.6ms는 '깨어나기까지' 밀린 것"
infer_decide_latency,C-chunk5ms,128,62139,62165,325946,603540,84000000,2026-08-08,"739.7/740.1/3880/7185 us. 실행은 안 밀렸는데(위 행) 기상은 7.2ms 밀렸다 - 두 지표를 나눠 재서 보이는 구분이다"
#
# ── 설계 의도가 검증된 지점 ──────────────────────────────────────────────────
# kernel_compare 합계 41,790 cyc(497.5us) vs 여기 min 59,911 cyc(713.2us).
# 차이 18,121 cyc(215.7us)는 prv_window_to_float — raw int16 768개를 g/dps float로
# 바꾸는 비용이다. 커널 두 파일만 O2로 고정했고 app_tasks.c는 Debug -O0이라,
# **이 215.7us의 상당 부분이 최적화 수준의 값**이다. 즉 "min이 커널 벤치와 같아야
# 한다"는 예상은 그 사이에 -O0 코드가 끼어 있는 만큼 어긋났고, 어긋난 양이
# 정확히 설명된다. (W4에서 환산을 커널 쪽으로 옮기면 30%가 사라진다)
#
# ── CPU 부하 ─────────────────────────────────────────────────────────────────
# 713.2us / 640ms(hop) = **0.11%**. system-design.md §1-3의 "진짜 추론은 0.2% 부하"
# 예측이 맞았다. §1-8이 스케줄링 실험을 합성 부하로 분리한 근거가 실측으로 확인됐다 —
# 이 태스크는 우선순위를 어디에 두든 아무것도 못 민다.
