tag,config,n,min,median,p99,max,clock_hz,measured_at,note
# float32 vs int8 순전파 (docs/system-design.md §5). 부팅 시 스케줄러 전에 1회 —
# 태스크 선점이 없어야 커널 자체의 비용이 나온다. 소스: firmware/Core/Src/ae_bench.c
# 원자료: raw/w3_final_uart.log 의 [7] kernel 섹션
#
# config 열 = 입력 윈도우의 라벨(normal / impact). 두 입력의 숫자가 다르면
# 추론 시간이 데이터 의존적이라는 뜻이고, 그러면 WCET를 한 입력으로 말할 수 없다.
#
# tag 의미:
#   kernel_feat    특징 추출 + z-score 정규화 — **두 경로 공용 비용**
#   kernel_quant   z-score -> int8 양자화. **int8 경로만 내는 추가 비용**
#   kernel_fwd_i8  int8 순전파 + 재구성오차(정수 합)
#   kernel_fwd_f32 float32 순전파 + 재구성오차(MSE)
#
# 두 커널 파일은 빌드 구성과 무관하게 O2로 고정돼 있다(ae_infer.c 상단 주석).
# Debug -O0로 재면 "int8 vs float"가 아니라 "누가 -O0에 더 취약한가"를 재게 된다.
kernel_feat,normal,200,28816,28818,29033,29033,84000000,2026-08-08,"343.0us. 공통 비용이자 **파이프라인의 최대 항**(전체 713us의 48%). 순전파(138us)의 2.5배다 - '추론을 최적화'하면 보통 순전파를 보는데 이 시스템의 답은 특징 추출이다. 2-pass 표준편차(features.py 참조)가 윈도우를 두 번 훑는 비용이 여기 있다"
kernel_quant,normal,200,1347,1347,1550,1563,84000000,2026-08-08,"16.0us. float 경로는 안 내는 비용이라 int8 쪽 합계에 더해야 공정하다"
kernel_fwd_i8,normal,200,11616,11625,11834,11836,84000000,2026-08-08,"138.3us"
kernel_fwd_f32,normal,200,7267,7269,7483,7484,84000000,2026-08-08,"86.5us. **int8보다 1.59배 빠르다.** 양자화 비용까지 넣으면 (1347+11625)/7269 = 1.78배"
kernel_feat,impact,200,28787,28789,29003,29004,84000000,2026-08-08,"342.7us. normal 대비 -0.1%"
kernel_quant,impact,200,1365,1365,1579,1580,84000000,2026-08-08,"16.2us"
kernel_fwd_i8,impact,200,11551,11560,11769,11769,84000000,2026-08-08,"137.6us. normal 대비 -0.6%"
kernel_fwd_f32,impact,200,7284,7284,7499,7500,84000000,2026-08-08,"86.7us. normal 대비 +0.2%"
#
# ── 결론 ─────────────────────────────────────────────────────────────────────
# 1) **float32가 1.59배(양자화 포함 1.78배) 빠르다.** §5의 가설이 맞았다 — M4F는 float
#    MAC이 VMLA.F32 명령 하나인데, 순수 C int8은 로드/부호확장/곱/누산에 재양자화
#    (64비트 곱 + 라운딩 시프트)까지 붙는다. "int8이 4배 빠르다"는 일반론은 SIMD 전제다.
#
#    "왜 int8인가"의 최종 결산 (이 모델·이 하드웨어):
#      메모리 절약   Flash 2,016 B = 512 KB의 0.38%
#      속도         1.78배 **느림**
#      정확도 대가   FPR 4.06% -> 9.28% (2.3배 악화, accuracy.csv)
#    => 이 규모에서 int8은 이득이 아니었다. 이득을 보려면 CMSIS-NN(SIMD)이 필요하고,
#       그게 스트레치의 동기다. quantization-basics.md §1에 이 단서를 달 것.
#
# 2) **추론 시간은 데이터 의존적이지 않다** (입력 두 개 차이 0.6% 이내). int8 경로에
#    데이터 의존 분기가 없고(clamp는 분기가 아니다) float의 ReLU 분기도 영향이 없었다.
#    => WCET를 한 입력으로 잰 max로 말해도 된다는 근거. 가정이 아니라 확인한 것.
#
# 3) **순전파는 전체의 19%뿐이다.** 태스크 환경 전체 713.2us(inference_cycles.csv min)의
#    분해: 환산 30.2% / 특징+정규화 48.1% / 양자화 2.2% / 순전파 19.4%.
#    int8 vs float 논쟁이 실제로 건드리는 건 전체의 5분의 1이다.
